Characteristic,Optimality_Gap(%),Processing_Time(s)
Customers clustered,27.016125827814573,0.039864766405779656
Customers random,34.53931547619048,0.03966184077380953
Customers random-clustered,32.42961723930078,0.03887600572634117
Demand depending on quadrant,31.816729691876752,0.03942596288515406
Demand large values with large CV,30.971274509803923,0.03950553711484594
Demand large values with small CV,32.032366946778716,0.039826871848739495
Demand many small values and few large values,31.252079831932775,0.03933435574229692
Demand small values with large CV,31.256435574229695,0.03950300980392157
Demand small values with small CV,31.8884243697479,0.03913848669467787
Demand unitary,30.16677374301676,0.03954514944134078
Depot centered,34.57319987959061,0.03642193226971704
Depot cornered,27.4803663003663,0.041487780219780224
Depot random,31.89985008818342,0.0404989708994709
Route_Size long,34.22494301139772,0.036889883623275346
Route_Size medium,24.90145170965807,0.038650229154169165
Route_Size short,15.123263347330534,0.042562742651469705
Route_Size ultra long,60.13802521008403,0.033724034813925566
Route_Size very long,45.47811524609843,0.03568181032412965
Route_Size very short,8.200641871625674,0.0492966574685063
