Method,Instance,N,K,Q,Lower_Bound,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
MIP,A-n32-k5,31,5,100,784.0,784.0,0.0,131.000000
MIP,A-n33-k5,32,5,100,650.0,661.0,1.66,300.000000
MIP,A-n33-k6,32,6,100,720.0,742.0,2.96,300.000000
MIP,A-n34-k5,33,5,100,732.0,778.0,5.91,300.000000
MIP,A-n36-k5,35,5,100,745.0,799.0,6.76,300.000000
MIP,A-n37-k5,36,5,100,660.0,669.0,1.35,300.000000
MIP,A-n37-k6,36,6,100,868.0,949.0,8.54,300.000000
MIP,A-n38-k5,37,5,100,722.0,730.0,1.1,300.000000
MIP,A-n39-k5,38,5,100,778.0,822.0,5.35,300.000000
MIP,A-n39-k6,38,6,100,798.0,831.0,3.97,300.000000
MIP,A-n44-k6,43,6,100,860.0,937.0,8.22,300.000000
MIP,A-n45-k6,44,6,100,875.0,944.0,7.31,300.000000
MIP,A-n45-k7,44,7,100,1016.0,1146.0,11.34,300.000000
MIP,A-n46-k7,45,7,100,852.0,914.0,6.78,300.000000
MIP,A-n48-k7,47,7,100,989.0,1073.0,7.83,300.000000
MIP,A-n53-k7,52,7,100,937.0,1010.0,7.23,300.000000
MIP,A-n54-k7,53,7,100,1018.0,1167.0,12.77,300.000000
MIP,A-n55-k9,54,9,100,972.0,1073.0,9.41,300.000000
MIP,A-n60-k9,59,9,100,1108.0,1354.0,18.17,300.000000
MIP,A-n61-k9,60,9,100,903.0,1034.0,12.67,300.000000
MIP,A-n62-k8,61,8,100,1092.0,1288.0,15.22,300.000000
MIP,A-n63-k10,62,10,100,1105.0,1314.0,15.91,300.000000
MIP,A-n63-k9,62,9,100,1404.0,1616.0,13.12,300.000000
MIP,A-n64-k9,63,9,100,1206.0,1401.0,13.92,300.000000
MIP,A-n65-k9,64,9,100,1044.0,1174.0,11.07,300.000000
MIP,A-n69-k9,68,9,100,1008.0,1159.0,13.03,300.000000
MIP,A-n80-k10,79,10,100,1454.0,1763.0,17.53,300.000000
